Temperature,Pressure,Data
6.04167,29.2583,693.468
6.04167,36.5479,712.726
6.04167,43.8375,730.405
6.04167,51.1271,745.941
6.04167,58.4167,759.291
6.04167,65.7063,770.676
6.04167,72.9958,780.396
6.04167,80.2854,781.759
6.04167,87.575,788.741
6.04167,94.8646,795.968
6.04167,102.154,802.298
6.04167,109.444,807.918
6.04167,116.733,812.984
6.04167,124.023,817.623
6.04167,131.313,821.942
6.04167,138.602,826.022
6.04167,145.892,829.925
6.04167,153.181,833.691
6.04167,160.471,837.347
6.04167,167.76,840.918
6.04167,175.05,844.438
6.04167,182.34,847.957
6.04167,189.629,851.538
6.04167,196.919,855.244
6.04167,204.208,859.102
6.04167,211.498,863.082
6.04167,218.788,867.075
6.04167,226.077,870.928
6.04167,233.367,874.492
6.04167,240.656,877.661
6.04167,247.946,880.383
6.04167,255.235,882.651
6.04167,262.525,884.488
6.04167,269.815,885.93
6.04167,277.104,887.018
6.04167,284.394,887.795
6.04167,291.683,888.3
6.04167,298.973,888.569
6.04167,306.263,888.632
6.04167,313.552,888.517
6.04167,320.842,437.213
6.04167,328.131,431.83
6.04167,335.421,426.269
6.04167,342.71,504.825
6.04167,350.0,501.088
8.33333,0.1,606.865
8.33333,1.01325,618.609
8.33333,7.38958,633.224
8.33333,14.6792,651.037
8.33333,21.9688,671.288
8.33333,29.2583,692.164
8.33333,36.5479,711.914
8.33333,43.8375,729.542
8.33333,51.1271,744.782
8.33333,58.4167,757.798
8.33333,65.7063,768.904
8.33333,72.9958,778.433
8.33333,80.2854,779.775
8.33333,87.575,786.682
8.33333,94.8646,793.905
8.33333,102.154,800.315
8.33333,109.444,806.085
8.33333,116.733,811.359
8.33333,124.023,816.25
8.33333,131.313,820.846
8.33333,138.602,825.214
8.33333,145.892,829.396
8.33333,153.181,833.429
8.33333,160.471,837.349
8.33333,167.76,841.202
8.33333,175.05,845.047
8.33333,182.34,848.951
8.33333,189.629,852.962
8.33333,196.919,857.086
8.33333,204.208,861.257
8.33333,211.498,865.354
8.33333,218.788,869.228
8.33333,226.077,872.755
8.33333,233.367,875.859
8.33333,240.656,878.511
8.33333,247.946,880.719
8.33333,255.235,882.51
8.33333,262.525,883.923
8.33333,269.815,884.999
8.33333,277.104,885.777
8.33333,284.394,886.295
8.33333,291.683,886.585
8.33333,298.973,886.678
8.33333,306.263,886.597
8.33333,313.552,448.194
8.33333,320.842,443.312
8.33333,328.131,438.296
8.33333,335.421,433.137
8.33333,342.71,508.549
8.33333,350.0,504.962
10.625,0.1,601.416
10.625,1.01325,615.986
10.625,7.38958,634.099
10.625,14.6792,655.203
10.625,21.9688,677.378
10.625,29.2583,698.586
10.625,36.5479,717.598
10.625,43.8375,734.058
10.625,51.1271,748.126
10.625,58.4167,760.149
10.625,65.7063,770.489
10.625,72.9958,779.47
10.625,80.2854,780.746
10.625,87.575,787.364
10.625,94.8646,794.393
10.625,102.154,800.739
10.625,109.444,806.549
10.625,116.733,811.937
10.625,124.023,816.99
10.625,131.313,821.771
10.625,138.602,826.331
10.625,145.892,830.714
10.625,153.181,834.97
10.625,160.471,839.159
10.625,167.76,843.349
10.625,175.05,847.594
10.625,182.34,851.916
10.625,189.629,856.278
10.625,196.919,860.579
10.625,204.208,864.686
10.625,211.498,868.476
10.625,218.788,871.861
10.625,226.077,874.802
10.625,233.367,877.295
10.625,240.656,879.362
10.625,247.946,881.037
10.625,255.235,882.359
10.625,262.525,883.367
10.625,269.815,884.098
10.625,277.104,884.587
10.625,284.394,884.862
10.625,291.683,884.951
10.625,298.973,462.356
10.625,306.263,457.961
10.625,313.552,453.465
10.625,320.842,448.862
10.625,328.131,444.147
10.625,335.421,439.315
10.625,342.71,512.064
10.625,350.0,508.611
12.9167,0.1,604.199
12.9167,1.01325,623.995
12.9167,7.38958,646.698
12.9167,14.6792,670.046
12.9167,21.9688,691.974
12.9167,29.2583,711.404
12.9167,36.5479,728.156
12.9167,43.8375,742.495
12.9167,51.1271,754.814
12.9167,58.4167,765.485
12.9167,65.7063,774.829
12.9167,72.9958,783.11
12.9167,80.2854,784.301
12.9167,87.575,790.542
12.9167,94.8646,797.295
